Category,Prompt Name,Prompt Template
Client Management,Results Presentation Script,"Write talking points for presenting results to [CLIENT]'s leadership team. Project: [DESCRIBE]. Key findings: [LIST]. Recommendations: [LIST]. Structure: remind them of goals, share what we did, present findings, recommend actions, discuss next steps. Executive-appropriate length."
Client Management,Invoice Follow-Up,"Write a professional follow-up for an unpaid invoice to [CLIENT]. Invoice: #[NUMBER], $[AMOUNT], due [DATE], now [X] days overdue. First follow-up tone. Include: invoice details, payment instructions, and request for confirmation. Firm but not adversarial."
Client Management,Testimonial Request,"Write a testimonial request to [CLIENT] after a successful engagement. Remind them of the results achieved. Ask for a brief testimonial (written or LinkedIn recommendation). Provide guidance on what to include. Make it easy for them to say yes."
Client Management,Offboarding & Handoff,"Create an offboarding email and checklist for ending an engagement with [CLIENT]. Include: summary of work completed, handoff of deliverables and documentation, knowledge transfer notes, recommended next steps, and how to stay in touch. Leave on a positive note."
Business Development,Referral Request,"Write a referral request to [CONTACT] who knows my work. Be specific about who I help: [TARGET CLIENT DESCRIPTION]. What to say about me: [VALUE PROP]. Make it easy for them to refer by providing a forwardable blurb. Include referral incentive if applicable: [INCENTIVE]."
Business Development,Partnership Outreach,"Write an outreach email to [COMPANY/INDIVIDUAL] proposing a partnership. How we complement each other: [EXPLAIN]. Proposed collaboration: [IDEA]. Mutual benefits: [LIST]. Keep it exploratory, not salesy. Goal: get a conversation started."
Business Development,Conference Follow-Up,"Write a follow-up email to [NAME] I met at [CONFERENCE/EVENT]. Context of our conversation: [BRIEF SUMMARY]. Why I'm following up: [PURPOSE]. Include: reminder of who I am, specific reference to our chat, proposed next step. Send within 48 hours of meeting."
Business Development,Lost Deal Re-Engagement,"Write an email to re-engage [CONTACT] at [COMPANY] who didn't move forward [X] months ago. They chose [NOT TO PROCEED/COMPETITOR]. Reason: [IF KNOWN]. Check in on their situation, offer new value, suggest reconnecting. No guilt, just genuine interest."
Business Development,Annual Client Check-In,"Write an annual check-in email to past client [NAME/COMPANY]. Remind them of our work together: [BRIEF]. Ask how things are going since we worked together. Share a relevant insight or resource. Open the door for new conversations. Keep it warm and genuine."
Personal Productivity,Consulting Offering Definition,"Help me clearly define my consulting offering. I help [TARGET CLIENT] who struggle with [PROBLEM]. I deliver [SERVICES]. The outcome is [RESULTS]. Create: a one-sentence value proposition, 3-4 service tiers, and ideal client criteria. Make it focused, not everything-to-everyone."
Personal Productivity,Rate/Pricing Analysis,"Help me analyze my consulting rates. Current rate: $[AMOUNT]/[HOUR/DAY/PROJECT]. Experience: [YEARS]. Specialty: [AREA]. Market: [DESCRIBE]. Provide: market rate benchmarks, positioning considerations, rate increase strategy, and how to communicate value over cost."
Personal Productivity,Weekly Planning Template,"Create a weekly planning template for a consultant balancing client work, business development, and admin. Categories to include: client deliverables, client meetings, prospecting, content creation, admin, and learning. Include time-blocking suggestions."
Personal Productivity,Project Lessons Learned,"Create a lessons learned template for after consulting projects. Capture: what went well, what could improve, client feedback, efficiency opportunities, tools/templates created, and how to apply learning to future projects. Keep it useful, not bureaucratic."
Personal Productivity,Annual Business Review,"Create an annual business review template for a solo consultant. Sections: revenue analysis, client mix, project highlights, business development effectiveness, goals vs. actuals, market observations, and priorities for next year. Make it actionable, not just reflective."
Bonus,Consulting Agreement,"Draft a consulting services agreement including: parties, services description, deliverables, fees and payment terms, expenses, intellectual property, confidentiality, term and termination, liability limitations, and general provisions. Note: have a lawyer review before use."
Bonus,NDA for Client Engagement,"Draft a mutual NDA for a consulting relationship. Include: definition of confidential information, obligations, exclusions, term ([X] years), return of materials, and remedies. Keep it balanced and reasonable. Note: have a lawyer review before use."
Bonus,Subcontractor Brief,"Write a brief for a subcontractor I'm bringing onto a project. Project: [DESCRIBE]. Their role: [SCOPE]. Deliverables expected: [LIST]. Timeline: [DATES]. Rate: $[AMOUNT]. Client contact protocol: [RULES]. My expectations for quality and communication."
Bonus,Exit Interview Questions,"Create exit interview questions for a client at the end of an engagement. Cover: satisfaction with outcomes, process feedback, communication effectiveness, what I did well, what could improve, and likelihood to recommend. Keep it constructive and relationship-building."
Bonus,Value Articulation Exercise,"Help me articulate the value I provide to clients beyond deliverables. My work leads to: [TANGIBLE OUTCOMES]. The less obvious value includes: [INTANGIBLES - confidence, clarity, capability building]. Write: how to communicate this value in proposals and conversations."
