Category,Prompt Name,Prompt Template
Client Communication,Offer Presentation to Seller,"Write an email presenting an offer to my seller. Offer price: $[AMOUNT] (list was $[LIST PRICE]). Buyer qualifications: [PRE-APPROVAL/CASH]. Contingencies: [LIST]. Closing date: [DATE]. Present objectively with my professional recommendation."
Client Communication,Multiple Offer Situation,"Write an email to my seller explaining we have [X] offers. Summarize each offer's key terms in a clear comparison. Explain options: accept best offer, counter one, or counter all. Recommend a strategy based on their goals."
Client Communication,Buyer Offer Rejection Response,"Write a professional response to my buyer [NAME] whose offer was rejected. The listing agent said [REASON]. Present options: increase offer, write a personal letter, move on to other properties. Keep them motivated and confident."
Client Communication,Under Contract Congratulations,"Write a congratulations email to my [BUYER/SELLER] [NAME] now that we're under contract. Outline next steps: inspections, appraisal, final walkthrough. Include timeline and what they need to do. Express genuine excitement."
Client Communication,Closing Day Thank You,"Write a heartfelt closing day email to [CLIENT NAME]. Congratulate them on [BUYING/SELLING] [ADDRESS]. Thank them for trusting me. Include: when to expect keys/funds, my contact for future questions, and a request for a review/referral (tastefully)."
Client Communication,Past Client Check-In (6 Months),"Write a casual check-in email to [CLIENT NAME] who [BOUGHT/SOLD] [X] months ago. Ask how they're settling in, mention market update in their area, offer to help with any homeowner questions. Subtly remind them I appreciate referrals."
Client Communication,Anniversary Email,"Write a home anniversary email to [CLIENT NAME] on the 1-year anniversary of [BUYING/SELLING] [ADDRESS]. Include a fun fact about their home's value change, wish them well, and gently remind them I'm here for referrals or their next move."
Client Communication,Nurture Email - Market Update,"Write a monthly market update email for my database. Include: [CITY] average home price, days on market, inventory levels. Compare to last month/year. Keep it scannable with bullet points. End with ""thinking of buying or selling?"""
Market Analysis,Comparative Market Analysis Summary,"Write a 1-page CMA summary for [ADDRESS]. Subject property: [BEDS]/[BATHS], [SQFT], built [YEAR]. Comps: [LIST 3 RECENT SALES WITH PRICES]. Adjustments made for: [DIFFERENCES]. Recommended list price: $[AMOUNT]. Explain reasoning in plain English."
Market Analysis,Neighborhood Report,"Create a neighborhood overview for [NEIGHBORHOOD NAME] in [CITY]. Include: price range, typical home styles, school ratings, walkability, demographic trends, recent developments, and lifestyle appeal. Target: buyers considering this area."
Market Analysis,Market Trend Explanation,"Explain the current [CITY] real estate market to a [BUYER/SELLER] in simple terms. Current conditions: [BUYER'S/SELLER'S/BALANCED] market. Average days on market: [X]. What this means for their strategy. Keep it under 200 words, no jargon."
Market Analysis,Investment Analysis,"Create an investment analysis for [ADDRESS] priced at $[PRICE]. Estimated rent: $[MONTHLY]. Calculate: gross yield, estimated expenses (taxes, insurance, maintenance, vacancy), net operating income, and cap rate. Present recommendation."
Market Analysis,Home Value Estimate Email,"Write an email to [HOMEOWNER NAME] who requested a home value estimate. Their address: [ADDRESS]. Estimated range: $[LOW] - $[HIGH]. Explain factors affecting value: recent sales, condition, upgrades. Offer a free in-person consultation for accuracy."
Market Analysis,Quarterly Market Newsletter,"Write a quarterly market update newsletter for [Q1/Q2/Q3/Q4] [YEAR] in [CITY/AREA]. Include: sales volume trends, median price changes, inventory levels, interest rate impact, forecast for next quarter. Keep it engaging, not dry statistics."
Market Analysis,Buyer Market Conditions Brief,"Write a one-page brief for my buyers explaining current market conditions in [AREA]. Include: competition level, typical offer strategies winning, average days on market, what they should be prepared for. Set realistic expectations."
Market Analysis,Seller Net Sheet Explanation,"Write an email explaining a seller net sheet to [SELLER NAME]. List price: $[AMOUNT]. Break down: commission, title fees, prorated taxes, mortgage payoff estimate, and estimated net proceeds. Make it clear and easy to understand."
Social Media,Just Listed Post,"Write an Instagram/Facebook post for a just-listed property at [ADDRESS]. Price: $[AMOUNT]. Highlight: [TOP 3 FEATURES]. Include relevant hashtags for [CITY] real estate. Add a call-to-action for showings. Keep it exciting but professional."
Social Media,Just Sold Post,"Write a celebratory social post for a just-sold property. [BUYER/SELLER] story: [BRIEF BACKGROUND]. Address: [CITY/NEIGHBORHOOD] (no exact address). Express gratitude, subtle flex on results, invite others to work with me. Include testimonial if available."
Social Media,Open House Announcement,"Write an engaging open house announcement for [ADDRESS] this [DAY] from [TIME] to [TIME]. Highlight: [KEY FEATURES]. Include neighborhood perks. Create urgency without being pushy. Add relevant hashtags and location tag reminder."
Social Media,Market Update Carousel,"Write 5 slides for an Instagram carousel about the [MONTH] [CITY] market update. Slide 1: hook/title. Slides 2-4: key stats with context (prices, inventory, days on market). Slide 5: what this means for buyers/sellers + CTA."
Social Media,Home Buying Tip Post,"Write an educational post sharing a home buying tip: [TOPIC - e.g., ""Why pre-approval matters"" / ""What earnest money is"" / ""Home inspection red flags""]. Make it valuable, not salesy. End with soft CTA to DM for questions."
Social Media,Home Selling Tip Post,"Write an educational post sharing a home selling tip: [TOPIC - e.g., ""Staging on a budget"" / ""Best time to list"" / ""Pricing strategy mistakes""]. Provide real value. Position myself as knowledgeable resource. Soft CTA."
Social Media,Personal Brand Post,"Write a personal/lifestyle post that builds my brand as a real estate agent. Theme: [TOPIC - e.g., ""Why I love this job"" / ""My morning routine"" / ""Behind the scenes of a closing""]. Be authentic and relatable, not braggy."
Social Media,Testimonial Feature Post,"Turn this client testimonial into an engaging social post: ""[TESTIMONIAL TEXT]"" - [CLIENT NAME]. Add context about our work together, express gratitude, include a professional photo caption suggestion. Make it celebratory."
Social Media,Community Spotlight Post,"Write a post highlighting [LOCAL BUSINESS/EVENT/PLACE] in [NEIGHBORHOOD]. Why I love it, what makes it special, recommendation for followers. Position myself as a local expert without making it about real estate directly."
Social Media,Real Estate Myth Buster Post,"Write a ""myth vs. reality"" post busting this real estate myth: ""[MYTH - e.g., You need 20% down / Spring is the only time to buy / All agents are the same]"". Explain the truth clearly. Build credibility as an educator."
Negotiation & Transactions,Offer Cover Letter for Buyers,"Write a compelling offer letter from my buyers [NAMES] for [ADDRESS]. Their story: [BRIEF BACKGROUND - why they love the home, family situation, etc.]. Keep it personal but professional. Don't include financial details or anything discriminatory."
Negotiation & Transactions,Counter Offer Explanation,"Write an email to my [BUYER/SELLER] explaining why I recommend countering at $[AMOUNT] instead of accepting the current offer of $[OFFER]. Justify with: market data, property condition, comparable sales. Present strategically."
Negotiation & Transactions,Inspection Repair Request,"Write a professional repair request letter based on home inspection findings. Property: [ADDRESS]. Requesting: [LIST REPAIRS OR CREDIT AMOUNT]. Justify each request. Keep tone collaborative, not adversarial. Aim for win-win."
Negotiation & Transactions,Appraisal Gap Explanation,"Write an email explaining an appraisal gap situation to my [BUYER/SELLER]. Appraised value: $[AMOUNT]. Contract price: $[AMOUNT]. Options: renegotiate, buyer covers gap, seller concession, or cancel. Present each option clearly."
Negotiation & Transactions,Closing Delay Communication,"Write an email informing all parties of a closing delay. Original date: [DATE]. New date: [DATE]. Reason: [REASON - e.g., lender delays, title issue, repair completion]. Apologize for inconvenience, provide solution, maintain professionalism."
Negotiation & Transactions,Escalation Clause Explanation,"Write an explanation of an escalation clause for my buyers. They want to offer $[BASE] with escalation up to $[MAX] in $[INCREMENT] increments. Explain how it works, pros/cons, and when to use this strategy."
Negotiation & Transactions,Multiple Offer Strategy,"Write an email coaching my buyers on how to make their offer stand out in a multiple-offer situation. Property: [ADDRESS]. Include: price strategy, earnest money, contingencies, closing timeline, personal letter pros/cons."
Negotiation & Transactions,Contract Extension Request,"Write a professional request to extend [INSPECTION/FINANCING/CLOSING] deadline. Current deadline: [DATE]. Requested extension to: [DATE]. Reason: [EXPLAIN]. Offer assurance that we're committed to closing."
Negotiation & Transactions,Deal Falling Through Communication,"Write an email to my [BUYER/SELLER] [NAME] after a deal fell through. Reason: [REASON]. Express empathy, explain next steps, provide encouragement. For sellers: reactivating listing plan. For buyers: continuing the search strategy."
Negotiation & Transactions,Final Walkthrough Checklist Email,"Write an email to my buyers preparing them for their final walkthrough of [ADDRESS]. Include: checklist of what to verify (repairs completed, systems working, included items present), what to bring, and what to do if issues are found."
Bonus,Bio/About Me Writer,"Write a professional real estate agent bio for [YOUR NAME]. Experience: [X] years. Specialties: [AREAS/PROPERTY TYPES]. Personal: [FAMILY/HOBBIES/COMMUNITY INVOLVEMENT]. Achievements: [AWARDS/SALES VOLUME]. Tone: [PROFESSIONAL/WARM/ENERGETIC]. 150 words max."
Bonus,Google Business Post,"Write a Google Business Profile post promoting [SERVICE/LISTING/MARKET UPDATE]. Keep it under 300 characters. Include a call-to-action. Make it local SEO friendly for [CITY] real estate searches."
Bonus,Expired Listing Letter,"Write a prospecting letter to an owner of an expired listing at [ADDRESS]. Acknowledge frustration, differentiate my approach, highlight my marketing strategy, offer a free consultation. Be empathetic, not pushy."
Bonus,FSBO Approach Email,"Write a respectful email to a For Sale By Owner at [ADDRESS]. Acknowledge their effort, offer value without insulting their approach, explain how I could help them net more even after commission. No pressure, just options."
Bonus,Referral Thank You,"Write a heartfelt thank-you note to [NAME] who referred [CLIENT NAME] to me. Express genuine gratitude, update them that I'm taking great care of the referral, mention my referral gift/program if applicable."
