Category,Prompt Name,Prompt Template
Marketing & Social Media,Service Education Carousel,"Write 5 slides for an Instagram carousel educating followers about [SERVICE]. Slide 1: hook (""What is [SERVICE]?""). Slides 2-4: benefits, process, who it's for. Slide 5: CTA to book. Keep each slide under 30 words for readability."
Marketing & Social Media,Behind-the-Scenes Post,"Write a behind-the-scenes post about [TOPIC: my workspace, my tools, my process, a day in my life]. Make it personal and relatable. Help followers feel connected to me as a person, not just a service provider. Light and authentic tone."
Marketing & Social Media,Monthly Special Promotion,"Write a promotional post for my monthly special: [OFFER - e.g., 20% off facials, free brow wax with any color service]. Valid: [DATES]. Include: what's included, value, urgency, and how to book. Make it compelling without being desperate."
Marketing & Social Media,Holiday/Seasonal Post,"Write a [HOLIDAY/SEASON] themed post for my beauty business. Include: seasonal service recommendations, gift card mention if relevant, holiday hours, and booking reminder. Festive but professional. Examples: Valentine's Day glam, summer skin prep, holiday party ready."
Marketing & Social Media,Client Appreciation Post,"Write a client appreciation post thanking my amazing clients. Could be: milestone celebration (X years in business), reaching X followers, or just because. Be genuine. No selling. Just gratitude. Make clients feel valued."
Marketing & Social Media,New Service Announcement,"Write an announcement post for a new service I'm offering: [SERVICE NAME]. Include: what it is, benefits, who it's perfect for, introductory price (if applicable), and how to book. Generate excitement. Include a launch offer if: [OFFER]."
Marketing & Social Media,FAQ Reel Script,"Write a script for a quick Instagram Reel answering a common question: ""[QUESTION - e.g., How long do lash extensions last? / Does waxing hurt? / How often should I get a facial?]"". 15-30 seconds. Hook, answer, CTA. Casual and helpful."
Marketing & Social Media,Trending Topic Take,"Write a post sharing my professional take on a trending beauty topic: [TREND - e.g., skinimalism, cold girl makeup, DIY treatments, TikTok beauty hacks]. Share educated opinion, correct misinformation if needed, and position myself as an expert. Not preachy."
Marketing & Social Media,Story Engagement Prompts,"Write 5 Instagram Story engagement prompts for beauty businesses. Examples: polls (this or that), questions (hair goals?), quizzes (test your skincare knowledge), sliders (how badly do you need a facial?). Drive interaction and showcase personality."
Marketing & Social Media,Email Newsletter for Salon/Spa,"Write a monthly email newsletter for my beauty business. Include: greeting, what's new this month (services, products), featured promotion, beauty tip, and booking CTA. Keep it scannable, under 300 words. Warm and professional."
Client Communication,Price Increase Notice,"Write an email/message announcing a price increase to existing clients. Current prices: [LIST]. New prices: [LIST]. Effective: [DATE]. Option to book at old rate before [DATE]. Explain: increased costs, continued quality commitment. Grateful and professional tone."
Client Communication,Closure/Vacation Notice,"Write a closure notice for [REASON: vacation, renovation, maternity leave, etc.]. Closed dates: [DATES]. Include: when booking reopens, how to get on the waitlist, emergency contact if applicable, and excitement to return. Plan ahead messaging."
Client Communication,Policy Change Announcement,"Write an announcement about a policy change: [DESCRIBE CHANGE - e.g., new deposit requirement, updated cancellation policy, no children in salon]. Explain the reason without over-explaining. Be clear and firm but kind. Effective date: [DATE]."
Client Communication,Service Discontinuation Notice,"Write a notice that I'm discontinuing [SERVICE]. Reason (if sharing): [OPTIONAL]. Last day to book: [DATE]. Alternative recommendations: [IF ANY]. Thank clients who loved this service. Focus on what I do offer going forward."
Client Communication,Referral Program Launch,"Write an announcement for my referral program. Offer: [DESCRIBE - e.g., $20 off for both referrer and new client]. Include: how it works, how to refer, any terms/limits. Make it exciting and shareable. Thank clients for spreading the word."
Business Operations,Job Posting for Stylist/Esthetician,"Write a job posting for a [POSITION: stylist, esthetician, nail tech, lash artist] at my [SALON/SPA/STUDIO]. About us: [BRIEF DESCRIPTION]. What we offer: [COMPENSATION, BENEFITS]. Who we're looking for: [QUALITIES, EXPERIENCE]. Include how to apply and what to include."
Business Operations,Partnership/Collaboration Pitch,"Write an outreach message to [BUSINESS TYPE: photographer, boutique, wedding planner, gym] proposing a collaboration. How we complement each other: [EXPLAIN]. Proposed collaboration: [IDEA - cross-promotion, package deal, event]. Benefits for both. Keep it friendly and low-pressure."
Business Operations,Vendor/Product Inquiry,"Write an inquiry email to [BRAND/DISTRIBUTOR] about carrying their products in my [SALON/SPA]. About my business: [BRIEF]. Why I'm interested in their products: [EXPLAIN]. Questions: wholesale pricing, minimum orders, training, exclusivity. Professional and interested tone."
Business Operations,Client Consultation Form,"Create a new client consultation form for [SERVICE TYPE - hair, skin, lash, nail]. Include: contact info, health/allergy questions relevant to service, current routine, goals/concerns, lifestyle factors, and consent/policy acknowledgment. Thorough but not overwhelming."
Business Operations,Service Menu Copy,"Write service menu descriptions for these services: [LIST SERVICES]. For each, include: brief description, what's included, duration, and benefit to client. Make them enticing and clear. Price can be added separately. Example: ""Signature Facial - [description]"""
Bonus,Bio for Website/Social,"Write a bio for a beauty professional. Name: [NAME]. Specialty: [SERVICES]. Experience: [YEARS, TRAINING]. Personal touch: [INTERESTS, WHY YOU LOVE YOUR WORK]. Ideal client: [DESCRIBE]. Tone: [WARM/EDGY/LUXURIOUS]. 100-150 words. First person or third person: [PREFERENCE]."
Bonus,Gift Card Promotion,"Write a gift card promotion post for [OCCASION: Mother's Day, holidays, Valentine's Day, graduation]. Highlight: perfect gift, no expiration (if applicable), available amounts, bonus offer if running one (e.g., buy $100 get $20 free). Include purchasing instructions."
Bonus,Bridal/Special Event Services Post,"Write a post promoting my bridal/special event services. Services offered: [LIST]. What's included: [DESCRIBE]. Why book with me: [UNIQUE VALUE]. Booking timeline recommendation: [HOW FAR IN ADVANCE]. Beautiful and aspirational tone."
Bonus,Client Complaint Response,"Write a response to a client complaint received via [DM/EMAIL/IN PERSON]. Issue: [DESCRIBE COMPLAINT]. My perspective: [YOUR SIDE]. Goal: resolve the issue and preserve the relationship if possible. Empathetic, professional, solution-focused."
Bonus,Year-End Thank You,"Write a year-end thank you message to my clients. Reflect on: the year's highlights, gratitude for their support, excitement for next year. Include: holiday hours, any year-end promotions, and warm wishes. Genuine and heartfelt."
