Category,Prompt Name,Prompt Template
Client Communication,Appointment Confirmation,"Write an appointment confirmation for [CLIENT NAME]. Service: [TYPE]. Date: [DATE]. Arrival window: [TIME RANGE]. Address: [ADDRESS]. Include: what to expect, how to prepare (clear access, pets secured, etc.), and my contact info if they need to reach me. Friendly and professional."
Client Communication,On-My-Way Message,"Write a brief ""on my way"" message to [CLIENT NAME]. Estimated arrival: [TIME]. Include: my vehicle description (if helpful), reminder to have access available, and that I'll text when I arrive. Quick and professional. Under 50 words."
Client Communication,Running Late Notification,"Write an apology message for running late to [CLIENT NAME]'s appointment. Original time: [TIME]. New ETA: [TIME]. Reason: [BRIEF - previous job took longer]. Apologize, give updated time, offer to reschedule if the new time doesn't work."
Client Communication,Job Completion Summary,"Write a job completion email to [CLIENT NAME]. Work completed: [DESCRIBE]. Any follow-up needed: [YES/NO - details]. Warranty information: [TERMS]. Invoice attached: $[AMOUNT]. Payment due: [TERMS]. Thank them for their business."
Client Communication,Follow-Up After Service,"Write a follow-up message to [CLIENT NAME] [X] days after completing [SERVICE]. Check if everything is working well, answer any questions, and request a review (with link). Make it genuine, not just a review grab."
Client Communication,Diagnostic Report,"Write a diagnostic report for [CLIENT NAME] after assessing [ISSUE]. Findings: [WHAT I FOUND]. Root cause: [EXPLAIN IN PLAIN ENGLISH]. Recommended repair: [SOLUTION]. Estimated cost: $[RANGE]. Alternative options: [IF ANY]. Help them understand what's happening."
Client Communication,Repair vs. Replace Recommendation,"Write a recommendation to [CLIENT NAME] about whether to repair or replace their [EQUIPMENT - e.g., water heater, AC unit, furnace]. Age: [X] years. Issue: [DESCRIBE]. Repair cost: $[AMOUNT]. Replacement cost: $[AMOUNT]. Factor in: efficiency, future repairs, lifespan. Honest advice."
Client Communication,Permit Explanation,"Write an explanation for [CLIENT NAME] about why a permit is required for [PROJECT]. Include: what the permit covers, permit cost: $[AMOUNT], timeline impact, inspection process, and why it protects them (insurance, resale, safety). Make it understandable."
Client Communication,Bad News Delivery,"Write a message delivering bad news to [CLIENT NAME]. Issue: [DESCRIBE - e.g., repair is more extensive than expected, part is unavailable, project will cost more]. Be direct but empathetic. Present options and next steps. Don't over-apologize but acknowledge the inconvenience."
Client Communication,Job Postponement,"Write a message to [CLIENT NAME] about postponing their scheduled work. Original date: [DATE]. New date: [DATE]. Reason: [WEATHER/MATERIALS DELAYED/EMERGENCY]. Apologize for inconvenience, confirm the new date works, offer flexibility."
Client Communication,Annual Service Reminder,"Write an annual service reminder to past client [NAME]. Last service: [SERVICE] on [DATE]. Time for: [RECOMMENDED MAINTENANCE]. Benefits of regular maintenance: [LIST]. Include easy booking CTA and seasonal urgency if applicable (e.g., ""before summer heat"")."
Client Communication,Final Walkthrough/Handoff,"Write talking points for a final walkthrough with [CLIENT NAME] after completing [PROJECT]. Cover: what was done, how to operate new equipment, maintenance recommendations, warranty registration, and when to call if issues arise. Leave them confident and informed."
Reviews & Referrals,Review Request,"Write a review request to [CLIENT NAME] after completing [SERVICE]. Make it easy: include direct link to [GOOGLE/YELP/NEXTDOOR]. Mention what to include (the service, experience, results). Brief and genuine. Not pushy."
Reviews & Referrals,Google Review Response (Positive),"Write a response to this positive Google review: ""[REVIEW TEXT]"". Thank them specifically, reference the work done, and express hope to help them again. Professional but personable."
Reviews & Referrals,Google Review Response (Negative),"Write a professional response to this negative review: ""[REVIEW TEXT]"". Acknowledge their frustration, apologize if appropriate, offer to make it right, and take it offline (provide phone number). Don't be defensive. Future clients are watching."
Reviews & Referrals,Referral Request,"Write a referral request to satisfied client [NAME]. Mention the work I did for them, explain that referrals are how I grow my business, and what's in it for them: [REFERRAL INCENTIVE if applicable]. Make it a natural ask, not desperate."
Reviews & Referrals,Referral Thank You,"Write a thank you message to [CLIENT NAME] who referred [NEW CLIENT NAME] to me. Express genuine gratitude. Mention the referral reward if applicable: [INCENTIVE]. Reinforce that I'll take great care of their referral."
Reviews & Referrals,Nextdoor Recommendation Response,"Write a response to a Nextdoor recommendation request where someone asked for a [SERVICE TYPE] recommendation and a client tagged me. Thank the client who recommended me, briefly introduce my services, and how to reach me. Not too salesy for the community vibe."
Reviews & Referrals,Testimonial Request,"Write a request to [CLIENT NAME] for a testimonial I can use on my website/truck/marketing. After I completed: [PROJECT]. Guide them: ask about the problem they had, the solution I provided, and the result. Offer to draft something for their approval."
Reviews & Referrals,Year-in-Review Thank You,"Write an end-of-year thank you to my client list. Include: gratitude for their business, a stat or two (jobs completed, families served), holiday hours, and well wishes. Genuine and warm."
Marketing & Social Media,Before/After Project Post,"Write a social media post for a before/after of [PROJECT - e.g., bathroom renovation, electrical panel upgrade, HVAC installation]. Describe the problem, the solution, and the result. Include: city/neighborhood (for local SEO), service call CTA, and relevant hashtags."
Marketing & Social Media,Educational Post (Tips),"Write an educational social post with tips for homeowners about [TOPIC: e.g., ""Signs your water heater is failing,"" ""How to prevent frozen pipes,"" ""When to call an electrician vs. DIY""]. Provide value, establish expertise, include soft CTA."
Marketing & Social Media,Seasonal Reminder Post,"Write a seasonal reminder post for [SEASON]. Topic: [e.g., ""Schedule your AC tune-up before summer,"" ""Winter-proof your plumbing,"" ""Spring electrical safety check""]. Include: why it matters, simple homeowner tips, and CTA to schedule service."
Marketing & Social Media,Emergency Service Post,"Write a post reminding followers I offer emergency [PLUMBING/ELECTRICAL/HVAC] services. Include: 24/7 availability, phone number, common emergencies I handle, and why to call a pro vs. wait. Reassuring tone."
Marketing & Social Media,New Service/Equipment Announcement,"Write a post announcing I now offer [NEW SERVICE] or am certified in [NEW EQUIPMENT/TECHNOLOGY]. Explain: what it is, benefits to customers, why I added it. Establish that I'm growing and staying current."
Marketing & Social Media,Why Hire a Licensed Pro Post,"Write a post explaining why customers should hire a licensed, insured [TRADE] instead of going with the cheapest option. Include: permit knowledge, warranty, liability, code compliance, and peace of mind. Informative, not preachy."
Marketing & Social Media,Meet the Team/About Me Post,"Write an ""about me"" or ""meet the team"" post for social media. Include: years in business, licenses/certifications, family/personal touch, service area, and what sets us apart. Build trust and connection with the community."
Marketing & Social Media,Customer Story Feature,"Write a post featuring [CLIENT NAME]'s project (with permission). The problem: [ISSUE]. The solution: [WHAT I DID]. The result: [HAPPY ENDING]. Add a client quote if available. Shows real-world value."
Marketing & Social Media,Community Involvement Post,"Write a post about my involvement in [COMMUNITY ACTIVITY: charity, sponsorship, local event]. What I did: [DESCRIBE]. Why it matters to me: [EXPLAIN]. Humanize the business without being braggy."
Marketing & Social Media,Google Business Profile Post,"Write a Google Business Profile post about [TOPIC: current promotion, seasonal service, new offering]. Keep it under 300 characters. Include: what's offered, benefit to customer, and CTA. Optimized for local search."
Business Operations,Invoice Template,"Create an invoice template for [COMPANY NAME]. Include: company info (address, phone, license #), client info, invoice #, date, itemized services with descriptions, materials with costs, labor, subtotal, tax if applicable, total, payment terms, and payment methods accepted."
Business Operations,Service Agreement/Contract,"Draft a service agreement for [PROJECT TYPE]. Include: scope of work, materials to be used, timeline, payment schedule, change order process, warranty terms, and cancellation policy. Keep it clear and fair. Note: have a lawyer review before use."
Business Operations,Technician Job Posting,"Write a job posting for a [POSITION: plumber, electrician, HVAC tech, apprentice]. Company: [NAME]. What we offer: [PAY, BENEFITS]. Requirements: [EXPERIENCE, CERTIFICATIONS]. What we're looking for: [QUALITIES]. Why work with us: [CULTURE/BENEFITS]. How to apply."
Business Operations,Supplier Negotiation Email,"Write an email to [SUPPLIER] negotiating better pricing or terms. Current relationship: [DESCRIBE]. Volume: [MONTHLY/ANNUAL PURCHASES]. Request: [DISCOUNT/BETTER TERMS]. Frame it as a partnership discussion, not a demand."
Business Operations,Insurance/Bonding Info for Clients,"Write a response for when clients ask about my insurance and bonding. Include: that I'm fully licensed, insured (liability and workers comp), bonded, and what this means for their protection. Offer to provide certificates if needed. Builds confidence."
Local SEO & Marketing,Service Area Page Content,"Write website content for my [SERVICE] page targeting [CITY/NEIGHBORHOOD]. Include: services offered in this area, common issues in this area (if relevant), response time, local testimonial placeholder, and call-to-action. Optimize for ""[SERVICE] in [CITY]"" searches."
Local SEO & Marketing,FAQ Page Content,"Write FAQ content for my website. Answer: service area, emergency availability, payment options, license/insurance info, estimate process, timeline expectations, warranty, and how to prepare for service visits. Clear and helpful."
Local SEO & Marketing,Nextdoor Business Post,"Write an introductory post for my business on Nextdoor. Introduce: who I am, services offered, neighborhoods served, and a soft offer (free estimate, discount for neighbors). Community-friendly tone, not too salesy."
Local SEO & Marketing,Vehicle Wrap Copy,"Write short, punchy copy for my service vehicle wrap. Include: company name, main services (brief), phone number, website, tagline. Must be readable at a glance. Under 20 words total for the main text."
Local SEO & Marketing,Door Hanger/Flyer Copy,"Write copy for a door hanger/flyer. Service: [TYPE]. Offer: [IF ANY - e.g., $25 off first service]. Include: services list, phone, website, license #, and compelling headline. Format for easy scanning. Local focus."
Bonus,Safety Concern Notification,"Write a message to [CLIENT NAME] about a safety concern I discovered during [SERVICE]. Issue: [DESCRIBE - e.g., outdated wiring, gas leak risk, code violation]. Risk: [EXPLAIN IN PLAIN TERMS]. Recommended action: [WHAT NEEDS TO HAPPEN]. Urgent but not alarmist."
Bonus,Warranty Registration Reminder,"Write a reminder to [CLIENT NAME] to register their warranty for [EQUIPMENT I INSTALLED]. Include: manufacturer, model, registration link/instructions, deadline if applicable, and what the warranty covers. Help them protect their investment."
Bonus,Subcontractor Agreement Outline,"Outline a subcontractor agreement for [PROJECT]. Include: scope, payment terms, insurance requirements, timeline, quality standards, and liability. Keep it professional and clear. Note: have a lawyer review before use."
Bonus,Trade Association/Certification Announcement,"Write a post announcing my new [CERTIFICATION/MEMBERSHIP - e.g., EPA certification, factory authorized dealer status, trade association membership]. Explain: what it means, how I earned it, and how it benefits my customers."
Bonus,Price Increase Notice,"Write a price increase notice to existing clients. Old rates: [DESCRIBE]. New rates: [DESCRIBE]. Effective: [DATE]. Reason: [MATERIALS/INSURANCE/OVERHEAD - brief]. Thank them for understanding. Offer to honor old rates for scheduled work before [DATE]."
